"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-01","36","38","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-02","24","28","13"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-03","15","22","9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-04","26","35","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-05","24","34","12"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-06","11","15","4"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-07","6","15","-1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-08","18","34","13"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-09","28","34","9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-10","13","16","5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-11","13","36","4"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-12","36","41","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-13","35","40","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-14","33","36","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-15","25","26","16"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-16","20","29","12"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-17","25","28","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-18","28","44","20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-01-19","30","40","10"
