"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-01",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-02",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-03",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-04",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-05",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-06",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-07",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-08",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-09",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-10",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-11",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-12",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-13",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-14",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-15",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-16",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-17",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-18",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-19",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-20",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-21",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-22",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-23",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-24",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-25",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-26",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-27",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-28",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-29",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-30",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-01-31",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-02-01",,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2022-02-02",,,
